skillName,simSymba,bestSimSymba
airlines,"Tuple{String,Float32}[(""airlines"", 1.0)]",1
contract negotiation,"Tuple{String,Float32}[(""contract negotiations"", 0.952381)]",0.952381
swift,"Tuple{String,Float32}[(""swift"", 1.0)]",1
sketching,"Tuple{String,Float32}[(""sketching"", 1.0)]",1
report writing,"Tuple{String,Float32}[(""report writing"", 1.0), (""report editing"", 0.857143)]",1
c++,"Tuple{String,Float32}[(""c++"", 1.0)]",1
magento,"Tuple{String,Float32}[(""magento"", 1.0)]",1
axure,"Tuple{String,Float32}[(""axure"", 1.0), (""azure"", 0.8)]",1
kotlin,"Tuple{String,Float32}[(""kotlin"", 1.0)]",1
vue,"Tuple{String,Float32}[(""vue"", 1.0)]",1
excel,"Tuple{String,Float32}[(""excel"", 1.0)]",1
unit testing,"Tuple{String,Float32}[(""unit testing"", 1.0), (""unit testing"", 1.0)]",1
css,"Tuple{String,Float32}[(""css"", 1.0)]",1
sales,"Tuple{String,Float32}[(""sales"", 1.0), (""sales"", 1.0)]",1
splunk,"Tuple{String,Float32}[(""splunk"", 1.0)]",1
visual studio,"Tuple{String,Float32}[(""visual studio"", 1.0)]",1
data analyses,"Tuple{String,Float32}[(""data analysis"", 0.923077), (""data analysis"", 0.923077)]",0.923077
premiere,"Tuple{String,Float32}[(""premiere"", 1.0)]",1
communication,"Tuple{String,Float32}[(""communications"", 0.928571)]",0.928571
rapid prototyping,"Tuple{String,Float32}[(""rapid prototyping"", 1.0)]",1
consumer electronics,"Tuple{String,Float32}[(""consumer electronics"", 1.0), (""computer & electronics"", 0.772727)]",1
cost accounting,"Tuple{String,Float32}[(""cost accounting"", 1.0), (""tax accounting"", 0.733333)]",1
programmable logic controller (plc),"Tuple{String,Float32}[(""programmable logic controller (plc)"", 1.0)]",1
deep learning,"Tuple{String,Float32}[(""deep learning"", 1.0)]",1
scrum,"Tuple{String,Float32}[(""scrum"", 1.0), (""scrum"", 1.0)]",1
apparel,"Tuple{String,Float32}[(""apparel"", 1.0)]",1
redis,"Tuple{String,Float32}[(""redis"", 1.0)]",1
management,"Tuple{String,Float32}[(""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0), (""management"", 1.0)]",1
javascript,"Tuple{String,Float32}[(""javascript"", 1.0)]",1
python,"Tuple{String,Float32}[(""python"", 1.0)]",1
tax accounting,"Tuple{String,Float32}[(""tax accounting"", 1.0), (""cost accounting"", 0.733333), (""accounting"", 0.714286)]",1
bookkeeping,"Tuple{String,Float32}[(""bookkeeping"", 1.0)]",1
planning,"Tuple{String,Float32}[(""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""planning"", 1.0), (""scanning"", 0.75)]",1
motivational speaking,"Tuple{String,Float32}[(""motivational speaking"", 1.0)]",1
professional services,"Tuple{String,Float32}[(""professional services"", 1.0)]",1
